Temperature - (Celsius), Year, Statistics, Country, ISO3
-17.7, 2008, Feb Average, Mongolia, MNG
-3.3, 2008, Mar Average, Mongolia, MNG
4.8, 2008, Apr Average, Mongolia, MNG
9.4, 2008, May Average, Mongolia, MNG
16.5, 2008, Jun Average, Mongolia, MNG
19.4, 2008, Jul Average, Mongolia, MNG
17.5, 2008, Aug Average, Mongolia, MNG
11.1, 2008, Sep Average, Mongolia, MNG
2.6, 2008, Oct Average, Mongolia, MNG
-6.6, 2008, Nov Average, Mongolia, MNG
-16.4, 2008, Dec Average, Mongolia, MNG
-19.5, 2009, Jan Average, Mongolia, MNG
-15.4, 2009, Feb Average, Mongolia, MNG
-7.0, 2009, Mar Average, Mongolia, MNG
6.3, 2009, Apr Average, Mongolia, MNG
11.9, 2009, May Average, Mongolia, MNG
15.4, 2009, Jun Average, Mongolia, MNG
18.7, 2009, Jul Average, Mongolia, MNG
16.6, 2009, Aug Average, Mongolia, MNG
10.2, 2009, Sep Average, Mongolia, MNG
2.0, 2009, Oct Average, Mongolia, MNG
-12.6, 2009, Nov Average, Mongolia, MNG
-19.7, 2009, Dec Average, Mongolia, MNG
-24.6, 2010, Jan Average, Mongolia, MNG
-20.3, 2010, Feb Average, Mongolia, MNG
-11.3, 2010, Mar Average, Mongolia, MNG
-1.4, 2010, Apr Average, Mongolia, MNG
10.4, 2010, May Average, Mongolia, MNG
18.0, 2010, Jun Average, Mongolia, MNG
20.2, 2010, Jul Average, Mongolia, MNG
15.8, 2010, Aug Average, Mongolia, MNG
9.4, 2010, Sep Average, Mongolia, MNG
2.1, 2010, Oct Average, Mongolia, MNG
-7.3, 2010, Nov Average, Mongolia, MNG
-17.6, 2010, Dec Average, Mongolia, MNG
-25.7, 2011, Jan Average, Mongolia, MNG
-14.6, 2011, Feb Average, Mongolia, MNG
-9.6, 2011, Mar Average, Mongolia, MNG
4.8, 2011, Apr Average, Mongolia, MNG
8.9, 2011, May Average, Mongolia, MNG
17.2, 2011, Jun Average, Mongolia, MNG
