"Баг, хороо","Малын төрөл","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Хангайн бүс","Ямаа","1,235.73","1,237.39","1,303.97","1,310.36","1,342.21","1,325.59","1,309.67","1,302.75","1,393.33","1,388.65","1,389.41","1,425.73","1,512.9","1,440.89","1,312.31","1,235.18","1,264.11","1,266.54","1,278.78","1,455.63","1,538.68","1,615.19","1,753.65","1,936.38","2,339.79","2,730.04","2,913.72","3,365.96","3,710.41","3,740.06","3,529.54","3,063.14","2,774.14","3,265.6","3,794.73","4,257.84","5,100.47","6,174.51","7,127","7,191.97","5,070.34","5,728.2","6,356.38","6,894.32","7,866.6","8,260.19","9,233.63","9,613.56","9,486.05","10,300.43","8,773.47"
"Төвийн бүс","Бүгд","4,700.56","4,524.51","4,762.95","4,784.89","5,214.35","5,302.69","5,142.52","4,859.92","5,184.71","5,181.56","4,919.05","4,947.29","5,217.9","5,095.54","5,001.97","4,888.44","4,933.22","4,880.27","4,988","5,469.5","5,693.11","5,775.07","5,777.16","5,515.2","5,754.29","6,316.87","6,710.61","7,322.78","7,946.2","7,980.94","6,792.7","6,003.34","5,737.31","5,723.69","6,252.79","6,628.1","7,071.31","8,400.19","9,619.36","10,484.07","7,557.95","8,448.84","9,463.89","10,604.9","12,288.45","13,206.5","14,154.43","15,193.41","15,428.46","16,958.68","16,691.04"
"Төвийн бүс","Адуу","571.44","544.19","544.74","518.57","561.73","571.89","557.9","522.2","525.9","528.86","495.36","476.81","492.65","473.62","466.92","464.66","470.05","474.29","492.26","528.7","542.35","555.92","543.07","529.42","567.8","640.72","690.81","743.8","814.7","836.29","651.79","519.3","481.71","457.54","476.97","477.26","463.94","491.44","487.94","517.11","445.02","497.35","553.22","630.21","732.2","805.32","854.36","902.3","876.65","957.22","959.24"
"Төвийн бүс","Үхэр","349.18","347.05","357.56","363.73","405.25","438.74","434.66","425.79","443.5","443.73","411.98","386.2","412.15","425.43","430.09","431.94","444.29","450.09","454.8","495.61","521.17","526.92","523.52","479.81","507.96","569.94","613.5","641.68","684.12","669.26","491.42","334.25","306.99","271.02","282.12","302.7","318.32","376.35","423.01","475.11","418.18","450.46","495.9","566.19","670.36","726.71","761","769.25","740.96","809.74","855.07"
"Төвийн бүс","Тэмээ","304.01","304.33","301.2","274.99","278.84","288.82","281.2","285.55","287.78","293.24","277.96","272.12","274.79","275.44","274.34","270.06","262.57","258.22","263.28","267.15","252.19","223.88","195.99","163.87","160.31","159.86","157.67","158.83","161.65","162.66","148.6","133.79","123.9","123.39","125.24","123.19","120.35","123.15","129.84","136.65","135","142.09","155.87","165.11","179.94","190","206.9","223.75","239.51","247.74","259.13"
"Төвийн бүс","Хонь","2,476.77","2,389.14","2,543.65","2,620.16","2,841.73","2,832.52","2,715.88","2,518.68","2,716.25","2,736.26","2,630.69","2,714.4","2,854.6","2,821.49","2,744.74","2,689.11","2,708.93","2,675.89","2,733.37","2,974.18","3,164.33","3,178.17","3,174.09","2,946.78","2,915.78","2,992.96","3,056.17","3,236.9","3,464.45","3,545.01","3,105.24","2,685.75","2,486.9","2,368.82","2,503.66","2,696.32","2,933.58","3,430.85","3,952.1","4,450.89","3,327.52","3,606.16","4,088.35","4,591.06","5,347.68","5,735.42","6,256.21","6,678.15","6,898.92","7,428.87","7,247.47"
"Төвийн бүс","Ямаа","999.16","939.81","1,015.8","1,007.44","1,126.8","1,170.71","1,152.89","1,107.69","1,211.28","1,225.28","1,103.06","1,097.77","1,183.7","1,099.57","1,085.87","1,032.68","1,047.38","1,021.78","1,044.29","1,203.86","1,213.07","1,290.18","1,340.49","1,395.33","1,602.45","1,953.4","2,192.46","2,541.57","2,821.29","2,767.72","2,395.65","2,330.25","2,337.8","2,502.92","2,864.8","3,028.63","3,235.13","3,978.4","4,626.47","4,947.24","3,232.23","3,752.78","4,170.56","4,652.33","5,358.27","5,749.05","6,075.95","6,619.97","6,672.42","7,515.11","7,370.12"
"Зүүн бүс","Бүгд","3,309.67","3,247.58","3,273.63","3,392.12","3,537.95","3,572.5","3,421.7","3,373.48","3,603.89","3,708.4","3,450.67","3,708.81","3,592.64","3,302.21","3,244.97","3,200.17","3,150.89","3,066.65","3,153.77","3,343.74","3,439.95","3,305.06","3,253.47","2,542.95","2,841.24","2,707.87","2,785.51","3,044.25","3,412.6","3,724.6","3,790.01","3,579.94","3,719.95","3,918.24","3,973.18","4,191.36","4,642.12","5,199.66","5,155.67","5,491.54","5,273.76","5,610.28","6,098.22","6,586.9","7,480.45","8,176.87","8,656.92","9,995.54","10,739.5","11,314.99","11,311.19"
"Зүүн бүс","Адуу","398.76","395.29","374.89","380.65","393.36","402.95","393.51","370.89","370.57","380.19","336.87","352.91","345.82","334.59","341.46","337.87","341.19","343.27","350.62","356.11","352.67","350.48","351.4","300.17","369.91","377.88","389.14","416.98","447.96","486.57","490.51","467.06","474.16","487.16","478.28","477.51","487.3","487.91","407.51","407.84","428.07","465.42","506.99","559.54","628.31","704.12","780.44","878.36","925.06","944.64","976.92"
"Зүүн бүс","Үхэр","372.55","382.44","380.37","389.67","423.5","438.21","441.03","439.47","468.51","474.11","442.91","459.74","440.64","418.07","416.95","412.39","418.97","418.03","408.5","435.36","455.38","447.78","454.93","365.51","449.31","452.72","453.36","491.18","534.62","586.58","570.3","388.04","384.07","391.42","375.27","373.28","397.88","414.96","380.18","399.48","393.47","412.06","453.6","503.91","578.23","648.68","681.09","779.95","847.81","927.2","960.73"
"Зүүн бүс","Тэмээ","47.95","47.43","46.23","47.01","48","48.97","48.29","47.01","48.35","49.02","45.78","47.46","45.07","43.89","43.36","42.46","41.83","40.17","40.38","40.92","39.15","34.45","30.38","23.69","26.9","25.31","24.53","24.9","25.43","25.81","25.41","24.52","24.86","25.13","24.46","23.23","22.38","21.88","19.97","20.19","20.54","19.93","18.43","17.2","16.99","17.27","17.39","18.1","18.58","18.48","17.86"
"Зүүн бүс","Хонь","2,201.31","2,147.88","2,185.74","2,270.33","2,359.37","2,353.24","2,220.24","2,194.81","2,369.81","2,448.04","2,302.36","2,486.57","2,416.29","2,193.68","2,128.39","2,092.52","2,033.62","1,963.47","2,035","2,146.78","2,214.24","2,107.79","2,012.33","1,482.08","1,527.23","1,336.02","1,341.12","1,445.51","1,617.59","1,799.79","1,844.41","1,781.75","1,773.56","1,788.5","1,817.72","1,948.17","2,157.99","2,395.99","2,429.97","2,643.45","2,580.3","2,693.88","2,953.36","3,218.36","3,653.44","3,995.82","4,311.7","5,029.34","5,423.34","5,688.45","5,641.71"
"Зүүн бүс","Ямаа","289.1","274.55","286.39","304.47","313.73","329.13","318.62","321.3","346.65","357.05","322.75","362.12","344.82","311.98","314.81","314.94","315.29","301.72","319.27","364.57","378.52","364.55","404.44","371.5","467.89","515.95","577.37","665.68","786.99","825.86","859.38","918.57","1,063.31","1,226.02","1,277.45","1,369.17","1,576.33","1,878.92","1,918.05","2,020.58","1,851.38","2,018.99","2,165.84","2,287.89","2,603.49","2,810.98","2,866.31","3,289.78","3,524.72","3,736.22","3,713.98"
"Улаанбаатар","Бүгд","31.95","38.57","41.2","53.5","57.9","63.2","65.3","65.1","59.3","","52","55.78","60.83","72.53","75.12","80.19","80.19","93.71","99.64","118.29","143.55","206.35","275.14","266.26","247.76","294.31","305.79","301.18","300.96","239.35","230.64","221.42","233.46","243.25","226.36","247.11","321.97","331.22","384.82","400.83","262.88","278.92","308.46","329.09","385.36","403.66","438.33","423.64","411.78","444.89","468.69"
"Улаанбаатар","Адуу","7.41","7.89","6.8","8.7","8.1","9.2","8.8","9.2","8.1","27","7.28","8.08","8.27","8.55","8.45","10.01","10.01","10.91","11.02","11.93","15.28","22.07","25.51","24.12","24.45","27.75","26.75","23.89","24.02","21.73","20.07","18.28","16.21","17.46","17.59","16.84","19.51","19.02","18.73","21.97","20.79","22.49","25.8","30.2","33.86","36.74","45.18","43.34","42.79","48.04","57.61"
"Улаанбаатар","Үхэр","13.81","15.6","15.4","23.8","26.6","27.7","27.6","27.6","29.4","13.7","25.29","26.28","27.79","30.57","31.34","32.05","32.05","36.91","38.07","42.65","44.92","51.82","58.2","53.03","48.12","64.29","65.16","59.52","56.96","52.57","48.58","44.76","45.4","44.81","45.37","50.04","55","58.2","58.99","59.54","54.91","56.9","60.6","64.61","76.57","86.01","89.8","88.85","80.84","85.65","89.51"
"Улаанбаатар","Тэмээ","","","","","","","","","","7.4","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02","0.01","0.02","0.03","0.04","0.09","0.14","0.09","0.1","0.09","0.09","0.07","0.06","0.08","0.06","0.06","0.05","0.04","0.09","0.1","0.12","0.15","0.21","0.23","0.15","0.18","0.12","0.15","0.23","0.25","0.25","0.23","0.26","0.25"
"Улаанбаатар","Хонь","4.21","7.49","11.4","13.7","15.5","19","20.7","20.3","14.9","4.7","14.65","15.95","18.33","26.29","28","30.53","30.53","36.65","40.24","50.85","65.78","104.08","147.84","144.82","132.55","145.18","148.99","145.13","142.52","109.65","102.81","94.84","94.15","96.76","85.26","94.2","129.02","128.67","154.51","167.91","101.57","105.75","124.73","134.62","158.85","162.32","176.81","170.17","166.34","176.71","174.9"
"Улаанбаатар","Ямаа","6.52","7.59","7.6","7.3","7.7","7.3","8.2","8","6.9","52.8","4.76","5.46","6.41","7.11","7.31","7.58","7.58","9.22","10.3","12.85","17.55","28.33","43.5","44.15","42.54","56.98","64.8","72.55","77.4","55.34","59.1","63.48","77.64","84.18","78.1","85.94","118.33","125.21","152.44","151.2","85.39","93.64","97.15","99.54","115.92","118.36","126.29","121.03","121.58","134.24","146.43"
